timestamp,requests_per_minute,request_duration,cpu_usage,memory,disk,network_load
1627272000,30.6667,3157.2212,3.9381,676.4258,19798.1992,0.0069
1627272004,30.6667,3157.2212,3.9381,676.4258,19798.1992,0.0069
1627272008,25.3333,3208.7778,9.1459,668.0352,19798.3555,0.3493
1627272012,25.3333,3208.7778,9.1459,668.0352,19798.3555,0.3493
1627272016,25.3333,3208.7778,9.1459,668.0352,19798.3555,0.3493
1627272020,25.3333,3208.7778,9.1459,668.0352,19798.3555,0.3493
1627272024,20.0,2890.4607,6.0379,661.6367,19798.3828,0.1852
1627272028,20.0,2890.4607,6.0379,661.6367,19798.3828,0.1852
1627272032,20.0,2890.4607,6.0379,661.6367,19798.3828,0.1852
1627272036,16.0,3291.1071,5.7791,659.5039,19798.3828,0.0042
1627272040,16.0,3291.1071,5.7791,659.5039,19798.3828,0.0042
1627272044,16.0,3291.1071,5.7791,659.5039,19798.3828,0.0042
1627272048,16.0,3291.1071,5.7791,659.5039,19798.3828,0.0042
1627272052,10.6667,4257.3929,7.4345,661.9141,19798.4219,0.0016
1627272056,10.6667,4257.3929,7.4345,661.9141,19798.4219,0.0016
1627272060,10.6667,4257.3929,7.4345,661.9141,19798.4219,0.0016
1627272064,10.6667,4257.3929,7.4345,661.9141,19798.4219,0.0016
1627272068,4.0,6050.0,5.2352,668.8828,19798.5,0.0018
1627272072,4.0,6050.0,5.2352,668.8828,19798.5,0.0018
1627272076,4.0,6050.0,5.2352,668.8828,19798.5,0.0018
1627272080,4.0,6050.0,5.2352,668.8828,19798.5,0.0018
1627272084,1.3333,3039.0,3.6442,667.4766,19798.5,0.0006
1627272088,1.3333,3039.0,3.6442,667.4766,19798.5,0.0006
1627272092,1.3333,3039.0,3.6442,667.4766,19798.5,0.0006
1627272112,1.3333,3039.0,6.2676,665.4453,19798.5,0.0013
1627272116,1.3333,3643.4,6.2676,665.4453,19798.5,0.0013
1627272120,1.3333,3643.4,6.2676,665.4453,19798.5,0.0013
1627272124,1.3333,3643.4,6.2676,665.4453,19798.5,0.0013
1627272128,8.0,3471.6786,1.9676,665.8359,19798.5,0.0009
1627272132,8.0,3471.6786,1.9676,665.8359,19798.5,0.0009
1627272136,8.0,3471.6786,1.9676,665.8359,19798.5,0.0009
1627272140,8.0,3471.6786,1.9676,665.8359,19798.5,0.0009
1627272144,14.6667,3544.6667,4.5108,670.6953,19798.5,0.0047
1627272148,14.6667,3544.6667,4.5108,670.6953,19798.5,0.0047
1627272152,14.6667,3544.6667,4.5108,670.6953,19798.5,0.0047
1627272156,17.3333,3544.6667,4.5108,670.6953,19798.5,0.0047
1627272160,17.3333,3255.7214,3.6156,673.125,19798.5,0.0055
1627272164,17.3333,3255.7214,3.6156,673.125,19798.5,0.0055
1627272168,17.3333,3255.7214,3.6156,673.125,19798.5,0.0055
1627272172,21.3333,3255.7214,6.3417,667.875,19798.5,0.0042
1627272176,21.3333,3341.2909,6.3417,667.875,19798.5,0.0042
1627272180,21.3333,3341.2909,6.3417,667.875,19798.5,0.0042
1627272184,21.3333,3341.2909,6.3417,667.875,19798.5,0.0042
1627272188,24.0,3371.1277,4.3407,665.4141,19798.5195,0.0063
1627272192,24.0,3371.1277,4.3407,665.4141,19798.5195,0.0063
1627272196,24.0,3371.1277,4.3407,665.4141,19798.5195,0.0063
1627272200,24.0,3371.1277,4.3407,665.4141,19798.5195,0.0063
1627272204,29.3333,3255.247,5.2815,670.2734,19798.582,0.0048
1627272208,29.3333,3255.247,5.2815,670.2734,19798.582,0.0048
1627272212,29.3333,3255.247,5.2815,670.2734,19798.582,0.0048
1627272216,30.6667,3255.247,5.2815,670.2734,19798.582,0.0048
1627272220,30.6667,3215.8336,4.0873,670.125,19798.5938,0.0085
1627272224,30.6667,3215.8336,4.0873,670.125,19798.5938,0.0085
1627272228,30.6667,3215.8336,4.0873,670.125,19798.5938,0.0085
1627272232,34.6667,3215.8336,6.6411,665.8281,19798.5938,0.0099
1627272236,34.6667,3114.975,6.6411,665.8281,19798.5938,0.0099
1627272240,34.6667,3114.975,6.6411,665.8281,19798.5938,0.0099
1627272244,34.6667,3114.975,6.6411,665.8281,19798.5938,0.0099
1627272248,44.0,3372.8276,2.9462,668.8047,19798.5938,0.0031
1627272252,44.0,3372.8276,2.9462,668.8047,19798.5938,0.0031
1627272256,44.0,3372.8276,2.9462,668.8047,19798.5938,0.0031
1627272260,44.0,3372.8276,2.9462,668.8047,19798.5938,0.0031
1627272264,53.3333,3404.2386,4.5529,674.0703,19798.7266,0.0074
1627272268,53.3333,3404.2386,4.5529,674.0703,19798.7266,0.0074
1627272272,53.3333,3404.2386,4.5529,674.0703,19798.7266,0.0074
1627272276,60.0,3404.2386,4.5529,674.0703,19798.7266,0.0074
1627272280,60.0,3550.3232,5.8093,673.9766,19798.793,0.0043
1627272284,60.0,3550.3232,5.8093,673.9766,19798.793,0.0043
1627272288,60.0,3550.3232,5.8093,673.9766,19798.793,0.0043
1627272292,58.6667,3550.3232,6.7187,663.9453,19798.793,0.0065
1627272296,58.6667,3372.8393,6.7187,663.9453,19798.793,0.0065
1627272300,58.6667,3372.8393,6.7187,663.9453,19798.793,0.0065
1627272304,58.6667,3372.8393,6.7187,663.9453,19798.793,0.0065
1627272308,56.0,3393.2981,7.132,658.9141,19798.8672,0.0096
1627272312,56.0,3393.2981,7.132,658.9141,19798.8672,0.0096
